Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,class
349,0,0,192,0,1056,809,3,15.87173752
250,0,0,182,0,1100,820,7,12.73462172
212,0,124.78,159,7.84,1085.4,799.54,56,45.08483564
379.5,151.2,0,153.9,15.9,1134.3,605,28,52.20022796
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76226077
540,0,0,173,0,1125,613,7,52.61391356
251.37,0,118.27,188.45,5.75,1028.4,757.73,3,17.22311048
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29092896
193.5,290.2,0,185.7,0,998.2,704.3,7,17.20035777
238.1,0,0,185.7,0,1118.8,789.3,7,10.33593472
290.2,193.5,0,185.7,0,998.2,704.3,28,33.0431373
190.68,0,125.4,162.14,7.77,1090,804.01,3,15.04436632
289,133.7,0,194.9,5.5,924.1,760.1,28,46.24729218
190.34,0,125.18,161.85,9.88,1088.1,802.59,14,22.7182342
158.4,0,194.9,219.7,11,897.7,712.9,28,8.536402356
393,0,0,192,0,940.6,785.6,28,39.60488039
298.2,0,107,209.7,11.1,879.6,744.2,28,31.87516496
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
374,189.2,0,170.1,10.1,926.1,756.7,56,63.3973182
229.68,0,118.16,195.23,6.13,1028.1,757.63,56,31.35047372
374,189.2,0,170.1,10.1,926.1,756.7,91,64.90037588
164,163,128,197,8,961,641,28,27.234302
139.6,209.4,0,192,0,1047,806.9,28,28.23748958
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69109481
475,118.8,0,181.1,8.9,852.1,781.5,56,72.29845336
313,0,113,178,8,1002,689,28,36.80422888
149,139,109,193,6,892,780,28,23.69039536
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14,34.23937816
157,236,0,192,0,935.4,781.2,90,43.37700359
389.9,189,0,145.9,22,944.7,755.8,7,59.09498796
190.68,0,125.4,162.14,7.77,1090,804.01,14,21.0634918
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
236,0,0,194,0,968,885,3,6.46728488
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96384756
238.05,0,94.11,186.66,7,949.91,847.01,3,19.93275116
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28,37.81086384
255,0,0,192,0,889.8,945,90,21.8591471
381.4,0,0,185.7,0,1104.6,784.3,7,14.54104884
157,236,0,192,0,935.4,781.2,3,9.694722036
200,200,0,190,0,1145,660,28,49.24927068
284,120,0,168,7,970,794,28,40.93419012
342,38,0,228,0,932,670,90,50.45930106
108.3,162.4,0,203.5,0,938.2,849,3,2.331807832
362.6,189,0,164.9,11.6,944.7,755.8,56,77.29715436
212,0,124.78,159,7.84,1085.4,799.54,28,38.50033984
376,0,0,214.6,0,1003.5,762.36,14,25.62092816
252.31,0,98.75,146.25,14.17,987.76,889.01,28,50.60064364
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,28,55.50971276
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
275.07,0,121.35,159.48,9.9,1053.6,777.5,14,38.76923548
520,0,0,175,5.2,870,805,28,51.021224
313,145,0,178,8,1002,689,28,41.05140104
229.97,0,118.31,195.47,4.63,1029.4,758.59,56,31.53663224
165,0.02,143.57,163.81,0,1005.6,900.9,14,16.87837248
393,0,0,192,0,940.6,785.6,90,48.8466167
234,156,0,189,5.85,981,760,28,39.300132
229.97,0,118.31,195.47,4.63,1029.4,758.59,14,20.08443588
387,20,94,157,14.32,938,845,28,50.23522136
144,15,195,176,6,1021,709,28,15.340841
374,189.2,0,170.1,10.1,926.1,756.7,3,34.39795764
145,0,179,202,8,824,869,28,10.53519328
400,0,0,187,0,1025,745,28,43.69898888
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3,21.29101888
424,22,132,168,8.92,822,750,7,40.28509772
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.62980142
133,200,0,192,0,927.4,839.2,90,36.58842289
400,0,0,187,0,1025,745,7,30.14389072
315,137,0,145,5.9,1130,745,28,81.75116932
173,116,0,192,0,946.8,856.8,28,24.28196577
181.38,0,167.01,169.59,7.56,1055.6,777.8,3,13.62404576
153,102,0,192,0,888,943.1,90,26.32281473
250,0,95.69,191.84,5.33,948.9,857.2,56,39.64487
491,26,123,201,3.93,822,699,28,57.915984
133,200,0,192,0,927.4,839.2,7,13.66403537
321,0,128,182,11,870,780,28,37.25928304
540,0,0,173,0,1125,613,3,41.63745564
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,3,18.01600788
213.74,0,174.74,154.79,10.16,1053.5,776.35,56,46.6430514
516,0,0,162,8.26,801,802,28,41.36856
165,128.5,132.1,175.06,8.08,1005.8,746.6,3,19.41564416
281,0,0,186,0,1104,774,28,22.43554904
152,178,139,168,18,944,695,28,36.34917472
362.6,189,0,164.9,11.6,944.7,755.8,7,22.89749796
446,24,79,162,11.61,967,712,28,57.02655996
252.31,0,98.75,146.25,14.17,987.76,889.01,3,21.78054684
295.71,0,95.64,171.54,8.87,955.14,859.2,3,22.94576128
250,0,95.69,191.84,5.33,948.9,857.2,14,24.65566176
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.19871902
300,0,120,212,10,878,728,28,23.83518532
305,0,100,196,10,959,705,28,30.12320644
148,0,182,181,15,839,884,28,15.52010476
325.6,166.4,0,174,8.9,881.6,790,28,61.23581094
136,196,98,199,6,847,783,28,26.96540636
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.59680647
266,114,0,228,0,932,670,90,47.02984744
250,0,95.69,191.84,5.33,948.9,857.2,3,8.48744956
339.2,0,0,185.7,0,1069.2,754.3,28,31.89998609
525,0,0,189,0,1125,613,28,55.94408264
296,0,0,186,0,1090,769,28,25.17966352
375,93.8,0,126.6,23.4,852.1,992.6,28,56.69561148
238.1,0,0,185.7,0,1118.8,789.3,28,17.57612219
379.5,151.2,0,153.9,15.9,1134.3,605,91,56.49566344
469,117.2,0,137.8,32.2,852.1,840.5,28,66.89985628
165,128.5,132.1,175.06,8.08,1005.8,746.6,56,53.72396992
540,0,0,162,2.5,1055,676,28,61.88736576
218.85,0,124.13,158.49,11.33,1078.7,794.91,56,37.2661778
281,0,0,186,0,1104,774,7,14.49968028
213.5,0,174.24,159.21,11.66,1043.6,771.9,56,51.25564584
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35455057
540,0,0,173,0,1125,613,90,69.65776028
525,0,0,189,0,1125,613,7,42.42345828
310,0,0,192,0,1012,830,3,11.85209244
213.74,0,174.74,154.79,10.16,1053.5,776.35,28,40.14818748
190,190,0,228,0,932,670,90,42.32693164
190.34,0,125.18,166.61,9.88,1079,798.9,14,19.41564416
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52471136
212.57,0,100.39,159.35,10.37,1003.8,903.79,56,44.39535964
331,0,0,192,0,978,825,7,16.26473884
250,0,95.69,187.42,5.53,956.86,861.17,28,29.21999288
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,28,24.24197616
425,106.3,0,153.5,16.5,852.1,887.1,28,60.2946762
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99108685
446,24,79,162,10.3,967,712,28,53.38612668
313,145,0,127,8,1000,822,28,44.51946532
393,0,0,192,0,940.6,785.6,7,27.74244581
322.2,0,115.6,196,10.4,817.9,813.4,28,31.1787942
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06200298
446,24,79,162,11.64,967,712,28,51.021224
475,0,0,162,9.5,1044,662,28,58.52272288
298,0,107,210,11,880,744,28,31.87447548
397,0,0,186,0,1040,734,28,36.93522932
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14,31.81242264
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,3,17.9953236
228,342.1,0,185.7,0,955.8,674.3,28,39.6993386
249.1,0,98.75,158.11,12.8,987.76,889.01,28,30.84715624
203.5,305.3,0,203.5,0,963.4,630,90,51.86376367
213.5,0,174.24,159.21,11.66,1043.6,771.9,14,29.59230992
295.71,0,95.64,171.54,8.87,955.14,859.2,28,39.94134468
307,0,0,193,0,968,812,28,27.53077668
275.07,0,121.35,159.48,9.9,1053.6,777.5,56,56.8472962
290.35,0,96.18,168.08,9.41,961.18,865,56,45.08483564
162,207,172,216,10,822,638,28,39.84481804
349,0,0,192,0,1056,809,28,33.60506024
281,0,0,185,0,1104,774,28,22.43554904
356,119,0,160,9.03,1061,657,28,58.99846132
427.5,47.5,0,228,0,932,594,7,35.07640202
387,20,94,157,11.61,938,845,56,61.45989064
316.1,210.7,0,185.7,0,977,689.3,7,24.43778734
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14,29.55094136
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23419213
220.8,147.2,0,185.7,0,1055,744.3,7,13.08901238
366,187,0,191.3,6.6,824.3,756.9,28,65.90907927
375,93.8,0,126.6,23.4,852.1,992.6,56,60.19814956
350,0,0,203,0,974,775,7,18.12632404
251.37,0,118.27,188.45,6.35,1028.4,757.73,56,36.63875464
405,0,0,175,0,1120,695,28,52.30364936
333,0,0,192,0,931.2,842.6,28,31.96686526
